category,subject,day,start_period,end_period,start_time,end_time,room
전공,심리통계학,금,7,9,15:00,18:00,수222
전공,발달심리학,수,7,9,15:00,18:00,성211
전공,발달심리학,수,4,6,12:00,15:00,난504
전공,심리측정론,화,7,9,15:00,18:00,수223-1
전공,정서심리학,목,7,9,15:00,18:00,난206
전공,상담이론과 실제,수,4,6,12:00,15:00,성710
전공,상담이론과 실제,월,4,6,12:00,15:00,성710
전공,인지심리학,금,7,9,15:00,18:00,성213
전공,인지심리학,목,1,3,09:00,12:00,난206
전공,특수아상담,화,4,6,12:00,15:00,난702
전공,심리평가,목,7,9,15:00,18:00,수203
전공,심리평가,금,4,6,12:00,15:00,성308
전공,문화심리학,목,4,6,12:00,15:00,성306
전공,행동수정,월,4,6,12:00,15:00,성612
전공,조직심리학,월,7,9,15:00,18:00,성211
전공,진로상담,금,4,6,12:00,15:00,수204
전공,신경심리학,수,1,3,09:00,12:00,성307
전공,임상심리학,화,1,3,09:00,12:00,수210
전공,소비자 및 광고심리학,화,7,9,15:00,18:00,난604
전공,통계지리학,수,4,6,12:00,15:00,수B-610
전공,자연지리학,화,4,6,12:00,15:00,성710
전공,한국의 자연과 환경,수,7,9,15:00,18:00,성710
전공,GIS개론,화,4,6,12:00,15:00,수B-610
전공,경제지리학,화,7,9,15:00,18:00,성705
전공,원격탐사 및 실습,화,7,9,15:00,18:00,수B-610
전공,기후변화 대책 실습,수,1,3,09:00,12:00,수411
전공,지리 교과교재연구 및 지도법,화,10,12,18:00,,성211
전공,세계인구와 문화경관,화,1,3,09:00,12:00,성310
전공,지역가치 창조론 및 실습,월,4,6,12:00,15:00,성705
전공,경제원론 2,화,1,3,09:00,12:00,성212
전공,경제원론 2,화,7,9,15:00,18:00,성301
전공,경제통계학,수,4,6,12:00,15:00,성212
전공,경제정보분석,목,4,6,12:00,15:00,성213
전공,경제정보분석,목,7,9,15:00,18:00,성213
전공,경제와 사회,금,1,3,09:00,12:00,성704
전공,미시경제학,수,4,6,12:00,15:00,성713
전공,거시경제학,화,7,9,15:00,18:00,성213
전공,거시경제학,수,7,9,15:00,18:00,성213
전공,수리경제학,화,4,6,12:00,15:00,nan
전공,경제학설사,목,1,3,09:00,12:00,성307
전공,후생경제학,금,4,6,12:00,15:00,성301
